,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
29,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,9,9,9,9,9,9,9,9,9,9,9,8,10,0,0,0,0,0,0,0,0,0,0,0
30,a,12,12,2,2,2,2,2,2,2,2,2,a,12,2,2,2,2,2,a,12,2,2,2,2,a,12,2,2,2,2,2,2,2,2,2,2,2,a,12,2,2,2,2,2,2,2,2,2,1a,0
31,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,9,9,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,9,9,0,0,18,0
32,8,10,10,11,11,11,11,11,11,11,11,11,8,10,11,11,11,11,11,8,10,11,11,11,11,8,10,11,11,11,11,11,11,11,11,11,11,11,8,10,11,11,11,11,11,11,11,11,11,18,0
33,c,14,14,4,4,4,4,4,4,4,4,4,c,14,4,4,4,4,4,c,14,4,4,4,4,c,14,4,4,4,4,4,4,4,4,4,4,4,c,14,4,4,4,4,4,4,4,4,4,1c,0
34,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,10,9,9,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,9,9,9,9,18,0
35,a,12,12,11,11,11,11,11,11,11,11,11,a,12,11,11,11,11,11,a,12,11,11,11,11,a,12,11,11,11,11,11,11,11,11,11,11,11,a,12,11,11,11,11,11,11,11,11,11,1a,0
36,a,12,12,2,2,2,2,2,2,2,2,2,a,12,2,2,2,2,2,a,12,2,2,2,2,a,12,2,2,2,2,2,2,2,2,2,2,2,a,12,2,2,2,2,2,2,2,2,2,1a,0
37,8,10,10,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,10,9,9,9,9,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
